tr2020gj,tr2020ge,tr2012gj,tr2012ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0600010402801,06001402801,G0600010402800,06001402800,0.9601624119,1,1,1,1,1,1,1
G0600010402802,06001402802,G0600010402800,06001402800,1,1,1,1,1,1,1,1
G0600010402900,06001402900,G0600010402900,06001402900,0.9623438156,1,1,1,1,1,1,1
G0600010402900,06001402900,G0600010403400,06001403400,0.0376561844,0,0,0,0,0,0,0
G0600010403000,06001403000,G0600010403000,06001403000,1,1,1,1,1,1,1,1
G0600010403100,06001403100,G0600010403100,06001403100,1,1,1,1,1,1,1,1
G0600010403301,06001403301,G0600010403300,06001403300,1,1,1,1,1,1,1,1
G0600010403302,06001403302,G0600010403300,06001403300,1,1,1,1,1,1,1,1
G0600010403302,06001403302,G0600010427300,06001427300,0,0,0,0,0,0,0,0
G0600010403401,06001403401,G0600010403400,06001403400,1,1,1,1,1,1,1,1
G0600010403402,06001403402,G0600010403400,06001403400,1,1,1,1,1,1,1,1
G0600010403501,06001403501,G0600010403501,06001403501,0.9978458603,1,1,1,1,1,1,1
G0600010403501,06001403501,G0600010404000,06001404000,0.0021541397,0,0,0,0,0,0,0
G0600010403502,06001403502,G0600010403502,06001403502,1,1,1,1,1,1,1,1
G0600010403600,06001403600,G0600010403502,06001403502,0.003383229,0,0,0,0,0,0,0
G0600010403600,06001403600,G0600010403600,06001403600,0.988648745,0.999884788,0.999872038,1,1,1,1,1
G0600010403600,06001403600,G0600010403702,06001403702,0.0079680261,0.000115212,0.000127962,0,0,0,0,0
G0600010403701,06001403701,G0600010403701,06001403701,1,1,1,1,1,1,1,1
G0600010403702,06001403702,G0600010403600,06001403600,0.0071170266,0,0,0,0,0,0,0
G0600010403702,06001403702,G0600010403702,06001403702,0.9928829734,1,1,1,1,1,1,1
G0600010403800,06001403800,G0600010403800,06001403800,0.9969509766,0.9976859725,0.9980443317,0.9982772137,0.9983755464,0.9984367861,0.9979917834,0.9985800332
G0600010403800,06001403800,G0600010426100,06001426100,0.0004075579,0.0002568363,0.0002644319,0.0002742584,0.000197801,0.0001890009,0.0005690165,0
G0600010403800,06001403800,G0600010426200,06001426200,0.0026414655,0.0020571913,0.0016912363,0.0014485279,0.0014266527,0.0013742129,0.0014392002,0.0014199668
G0600010403900,06001403900,G0600010403900,06001403900,1,1,1,1,1,1,1,1
G0600010404000,06001404000,G0600010404000,06001404000,0.9969045141,0.9986410887,0.9986576576,0.9983628216,0.998297049,0.9983764529,0.9989190203,0.9980628193
G0600010404000,06001404000,G0600010426200,06001426200,0.0030954859,0.0013589113,0.0013423424,0.0016371784,0.001702951,0.0016235471,0.0010809797,0.0019371807
G0600010404101,06001404101,G0600010404101,06001404101,0.9999262227,0.9998961064,0.9998955481,0.9998838965,0.9999152196,0.9999089665,0.9997861283,0.9999889024
G0600010404101,06001404101,G0600010426200,06001426200,0.0000737773,0.0001038936,0.0001044519,0.0001161035,0.0000847804,0.0000910335,0.0002138717,0.0000110976
