tr2020gj,tr2020ge,tr2012gj,tr2012ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0400010942600,04001942600,G0400010942600,04001942600,0.999779721,0.9999889836,0.9999848719,1,1,0.9999663423,1,1
G0400010942600,04001942600,G0400010942700,04001942700,0.0000002432,0,0,0,0,0,0,0
G0400010942600,04001942600,G0400170942400,04017942400,0.0002200358,0.0000110164,0.0000151281,0,0,0.0000336577,0,0
G0400010942700,04001942700,G0400010942700,04001942700,1,1,1,1,1,1,1,1
G0400010944000,04001944000,G0400010944000,04001944000,0.99999965,0.9999998872,0.9999999611,0.9999998757,0.9999999072,0.9999998729,1,0.9999997292
G0400010944100,04001944100,G0400010944000,04001944000,0.0000127372,0.0000001983,0,0,0,0.0000010497,0,0
G0400010944100,04001944100,G0400010944100,04001944100,0.9999872628,0.9999998017,1,1,1,0.9999989503,1,1
G0400010944201,04001944201,G0400010944201,04001944201,0.9999984801,1,1,1,1,1,1,1
G0400010944201,04001944201,G0400010944300,04001944300,0.0000015199,0,0,0,0,0,0,0
G0400010944202,04001944202,G0400010944100,04001944100,0.0000014999,0,0,0,0,0,0,0
G0400010944202,04001944202,G0400010944202,04001944202,0.9999985001,1,1,1,1,1,1,1
G0400010944301,04001944301,G0400010944300,04001944300,1,1,1,1,1,1,1,1
G0400010944302,04001944302,G0400010944000,04001944000,0.000017025,0,0,0,0,0,0,0
G0400010944302,04001944302,G0400010944300,04001944300,0.9971326402,0.998239377,0.9980667673,0.9989286807,0.9986063465,0.9980399477,0.9982334556,1
G0400010944302,04001944302,G0400010944902,04001944902,0.0028503349,0.001760623,0.0019332327,0.0010713193,0.0013936535,0.0019600523,0.0017665444,0
G0400010944901,04001944901,G0400010944901,04001944901,0.9999975587,1,1,1,1,1,1,1
G0400010944901,04001944901,G0400010945002,04001945002,0.0000024413,0,0,0,0,0,0,0
G0400010944902,04001944902,G0400010944300,04001944300,0.000092568,0,0,0,0,0,0,0
G0400010944902,04001944902,G0400010944902,04001944902,0.9998720528,1,1,1,1,1,1,1
G0400010944902,04001944902,G0400010970200,04001970200,0.0000082631,0,0,0,0,0,0,0
G0400010944902,04001944902,G0400170940014,04017940014,0.0000271162,0,0,0,0,0,0,0
G0400010945001,04001945001,G0400010945001,04001945001,0.9999097815,1,1,1,1,1,1,1
G0400010945002,04001945002,G0400010945002,04001945002,0.9999957763,1,1,1,1,1,1,1
G0400010945002,04001945002,G0400010945100,04001945100,0.0000042237,0,0,0,0,0,0,0
G0400010945100,04001945100,G0400010945100,04001945100,0.9995415622,1,1,1,1,1,1,1
G0400010945100,04001945100,G0400010970200,04001970200,0.0004495499,0,0,0,0,0,0,0
G0400010970201,04001970201,G0400010970200,04001970200,0.9999998152,1,1,1,1,1,1,1
G0400010970202,04001970202,G0400010945100,04001945100,0.0003229415,0,0,0,0,0,0,0
G0400010970202,04001970202,G0400010970200,04001970200,0.9996116514,0.9994886782,0.9995162876,0.9990887668,0.9994672074,0.999658848,0.9994057314,1
G0400010970202,04001970202,G0400170960100,04017960100,0.0000012091,0,0,0,0,0,0,0
G0400010970202,04001970202,G0400170963400,04017963400,0.0000624338,0.0005109004,0.0004832275,0.0009112332,0.0005326384,0.0003409664,0.0005940967,0
G0400010970202,04001970202,G0400170963800,04017963800,0.0000017642,0.0000004214,0.0000004849,0,0.0000001542,0.0000001856,0.000000172,0
G0400010970300,04001970300,G0400010970300,04001970300,1,1,1,1,1,1,1,1
G0400010970501,04001970501,G0400010970501,04001970501,1,1,1,1,1,1,1,1
G0400010970502,04001970502,G0400010970502,04001970502,0.999997435,1,1,1,1,1,1,1
G0400010970502,04001970502,G0400110960100,04011960100,0.0000024051,0,0,0,0,0,0,0
G0400010970502,04001970502,G0400170940302,04017940302,0.0000001599,0,0,0,0,0,0,0
G0400030000101,04003000101,G0400030000100,04003000100,0.9952170465,0.9936811934,0.9937472576,0.9632705795,0.9765848996,0.9736542527,0.9640146879,1
G0400030000101,04003000101,G0400030000500,04003000500,0.0047829535,0.0063188066,0.0062527424,0.0367294205,0.0234151004,0.0263457473,0.0359853121,0
G0400030000102,04003000102,G0400030000100,04003000100,0.9025337761,0.9926492913,0.9916746397,0.9915968414,0.994095612,0.9900288291,0.9926619586,1
G0400030000102,04003000102,G0400030000203,04003000203,0.0000244258,0.0000201527,0.0000181209,0.0000180613,0.0000180929,0.000025826,0.000022486,0
G0400030000102,04003000102,G0400030000500,04003000500,0.0974417981,0.007330556,0.0083072394,0.0083850973,0.0058862952,0.0099453449,0.0073155554,0
G0400030000201,04003000201,G0400030000201,04003000201,0.9998766486,1,1,1,1,1,1,1
G0400030000201,04003000201,G0400030000303,04003000303,0.0000987934,0,0,0,0,0,0,0
G0400030000201,04003000201,G0400090961600,04009961600,0.0000245581,0,0,0,0,0,0,0
G0400030000202,04003000202,G0400030000202,04003000202,0.9857280994,0.9985215849,0.9979895456,1,0.9992614476,0.9987752603,0.9986996099,1
G0400030000202,04003000202,G0400030000203,04003000203,0.0142719006,0.0014784151,0.0020104544,0,0.0007385524,0.0012247397,0.0013003901,0
G0400030000203,04003000203,G0400030000203,04003000203,0.9687110145,0.9816299942,0.9805738549,0.9732842606,0.98006972,0.9849698072,0.9779488302,0.990430622
G0400030000203,04003000203,G0400030000400,04003000400,0.0312889855,0.0183700058,0.0194261451,0.0267157394,0.01993028,0.0150301928,0.0220511698,0.009569378
G0400030000301,04003000301,G0400030000301,04003000301,0.9857558699,0.9999603489,0.9999519392,0.9999486981,0.9999728863,0.9999771355,0.9999575009,1
G0400030000301,04003000301,G0400030000302,04003000302,0.0142441301,0.0000396511,0.0000480608,0.0000513019,0.0000271137,0.0000228645,0.0000424991,0
G0400030000303,04003000303,G0400030000301,04003000301,0.0001585672,0,0,0,0,0,0,0
G0400030000303,04003000303,G0400030000302,04003000302,0.000212803,0,0,0,0,0,0,0
G0400030000303,04003000303,G0400030000303,04003000303,0.9995761468,0.9988235294,0.998539613,1,1,0.9994011976,1,1
G0400030000303,04003000303,G0400190004061,04019004061,0.000052483,0.0011764706,0.001460387,0,0,0.0005988024,0,0
G0400030000304,04003000304,G0400030000302,04003000302,1,1,1,1,1,1,1,1
G0400030000305,04003000305,G0400030000301,04003000301,0.0005420466,0.0074946389,0.008913608,0.0158642341,0.0107973868,0.0147075518,0.0124841427,0
G0400030000305,04003000305,G0400030000302,04003000302,0.9994579534,0.9925053611,0.991086392,0.9841357659,0.9892026132,0.9852924482,0.9875158573,1
G0400030000400,04003000400,G0400030000302,04003000302,0.0016890516,0,0,0,0,0,0,0
G0400030000400,04003000400,G0400030000400,04003000400,0.9983109484,1,1,1,1,1,1,1
G0400030000501,04003000501,G0400030000100,04003000100,0.000000144,0,0,0,0,0,0,0
G0400030000501,04003000501,G0400030000203,04003000203,0.0016570153,0.0029106029,0.0032398754,0.0022514071,0.0027366021,0.0019591837,0.00056899,0.0114942529
G0400030000501,04003000501,G0400030000500,04003000500,0.9912324461,0.9970859112,0.9967587317,0.9977360095,0.9972557504,0.9980353413,0.9994214695,0.9885057471
G0400030000501,04003000501,G0400030000600,04003000600,0.0071103946,0.0000034859,0.0000013929,0.0000125834,0.0000076476,0.000005475,0.0000095404,0
G0400030000502,04003000502,G0400030000500,04003000500,0.9995355912,1,1,1,1,1,1,1
G0400030000502,04003000502,G0400030000600,04003000600,0.0004644088,0,0,0,0,0,0,0
G0400030000503,04003000503,G0400030000500,04003000500,0.9998537062,0.999868637,0.9998681897,0.9977416504,0.9972204928,0.9979153696,0.9969888672,1
G0400030000503,04003000503,G0400030000600,04003000600,0.0001462938,0.000131363,0.0001318103,0.0022583496,0.0027795072,0.0020846304,0.0030111328,0
G0400030000600,04003000600,G0400030000500,04003000500,0.0035704928,0.0000149586,0.0000160244,0.0000103485,0.0000255506,0.0000234977,0.0000065602,0.0000987225
G0400030000600,04003000600,G0400030000600,04003000600,0.9964295072,0.9999850414,0.9999839756,0.9999896515,0.9999744494,0.9999765023,0.9999934398,0.9999012775
G0400030000700,04003000700,G0400030000600,04003000600,0.070938964,0,0,0,0,0,0,0
G0400030000700,04003000700,G0400030000700,04003000700,0.929061036,1,1,1,1,1,1,1
G0400030000800,04003000800,G0400030000700,04003000700,0.0027593205,0.0015872155,0.0016357812,0.0017851477,0.0015205258,0.0013550367,0.0026609201,0
G0400030000800,04003000800,G0400030000800,04003000800,0.9972406795,0.9984127845,0.9983642188,0.9982148523,0.9984794742,0.9986449633,0.9973390799,1
G0400030000901,04003000901,G0400030000600,04003000600,0.0028506253,0,0,0,0,0,0,0
G0400030000901,04003000901,G0400030000901,04003000901,0.9971493747,1,1,1,1,1,1,1
G0400030000902,04003000902,G0400030000600,04003000600,0.0106611843,0.0037257824,0.0031282586,0,0.0043103448,0.003606853,0,0.010178117
G0400030000902,04003000902,G0400030000902,04003000902,0.9893388157,0.9962742176,0.9968717414,1,0.9956896552,0.996393147,1,0.989821883
G0400030001000,04003001000,G0400030001000,04003001000,0.999727411,0.9945355191,0.9948830409,1,1,0.9972552608,1,1
G0400030001000,04003001000,G0400030001100,04003001100,0.0002692854,0.0054644809,0.0051169591,0,0,0.0027447392,0,0
G0400030001000,04003001000,G0400030001200,04003001200,0.0000033036,0,0,0,0,0,0,0
G0400030001100,04003001100,G0400030001000,04003001000,0.0000005318,0,0,0,0,0,0,0
G0400030001100,04003001100,G0400030001100,04003001100,0.9999994682,1,1,1,1,1,1,1
G0400030001200,04003001200,G0400030001000,04003001000,0.0000073729,0,0,0,0,0,0,0
G0400030001200,04003001200,G0400030001200,04003001200,0.9999926271,1,1,1,1,1,1,1
G0400030001301,04003001301,G0400030001300,04003001300,0.9994408042,1,1,1,1,1,1,1
G0400030001301,04003001301,G0400030001401,04003001401,0.0005591958,0,0,0,0,0,0,0
G0400030001302,04003001302,G0400030001300,04003001300,0.9997263847,0.9997614568,0.9997827194,0.999724585,0.9997287058,0.9997593358,0.9996189323,0.9999598758
G0400030001302,04003001302,G0400030001401,04003001401,0.0002736153,0.0002385432,0.0002172806,0.000275415,0.0002712942,0.0002406642,0.0003810677,0.0000401242
G0400030001401,04003001401,G0400030001401,04003001401,0.9991878158,1,1,1,1,1,1,1
G0400030001401,04003001401,G0400030001502,04003001502,0.000716426,0,0,0,0,0,0,0
G0400030001401,04003001401,G0400030001702,04003001702,0.0000957582,0,0,0,0,0,0,0
G0400030001402,04003001402,G0400030001401,04003001401,0.0001938015,0,0,0,0,0,0,0
G0400030001402,04003001402,G0400030001402,04003001402,0.9997425148,0.9999999879,0.9999999919,0.9999999833,0.999999984,0.9999999835,1,0.9999999838
G0400030001402,04003001402,G0400030001501,04003001501,0.0000003219,0,0,0,0,0,0,0
G0400030001402,04003001402,G0400030001800,04003001800,0.0000013606,0,0,0,0,0,0,0
G0400030001402,04003001402,G0400030001900,04003001900,0.0000151492,0,0,0,0,0,0,0
G0400030001402,04003001402,G0400030002100,04003002100,0.0000468521,0.0000000121,0.0000000081,0.0000000167,0.000000016,0.0000000165,0,0.0000000162
G0400030001501,04003001501,G0400030001501,04003001501,1,1,1,1,1,1,1,1
G0400030001502,04003001502,G0400030001401,04003001401,0.0269349245,0,0,0,0,0,0,0
G0400030001502,04003001502,G0400030001502,04003001502,0.9730650755,1,1,1,1,1,1,1
G0400030001601,04003001601,G0400030001401,04003001401,0.0221108736,0.0010653409,0.0010232221,0.0010663813,0.0009847081,0.0011191874,0.0011854584,0.000766184
G0400030001601,04003001601,G0400030001601,04003001601,0.9778891264,0.9989346591,0.9989767779,0.9989336187,0.9990152919,0.9988808126,0.9988145416,0.999233816
G0400030001602,04003001602,G0400030001602,04003001602,1,1,1,1,1,1,1,1
G0400030001701,04003001701,G0400030001701,04003001701,1,1,1,1,1,1,1,1
G0400030001702,04003001702,G0400030001401,04003001401,0.0050440034,0.0001884492,0.0002164798,0.0002267135,0.0002277559,0.0002099666,0.0004322551,0
G0400030001702,04003001702,G0400030001702,04003001702,0.9949559966,0.9998115508,0.9997835202,0.9997732865,0.9997722441,0.9997900334,0.9995677449,1
G0400030001703,04003001703,G0400030001703,04003001703,1,1,1,1,1,1,1,1
G0400030001801,04003001801,G0400030001800,04003001800,1,1,1,1,1,1,1,1
G0400030001802,04003001802,G0400030001800,04003001800,1,1,1,1,1,1,1,1
G0400030001900,04003001900,G0400030001402,04003001402,0.0000799956,0,0,0,0,0,0,0
G0400030001900,04003001900,G0400030001900,04003001900,0.9999200044,1,1,1,1,1,1,1
G0400030002001,04003002001,G0400030002001,04003002001,0.9120994682,0.9631743481,0.9597544238,0.9533494931,0.961012173,0.9641013484,0.9573827699,0.9765592799
G0400030002001,04003002001,G0400030002100,04003002100,0.0879005318,0.0368256519,0.0402455762,0.0466505069,0.038987827,0.0358986516,0.0426172301,0.0234407201
G0400030002002,04003002002,G0400030002001,04003002001,0.0000037432,0,0,0,0,0,0,0
G0400030002002,04003002002,G0400030002002,04003002002,0.9999962568,1,1,1,1,1,1,1
G0400030002100,04003002100,G0400030001200,04003001200,0.0014243353,0.0021123785,0.0020278834,0.0021141649,0.0014713095,0.0012722646,0.0016787913,0
G0400030002100,04003002100,G0400030002100,04003002100,0.9985756647,0.9978876215,0.9979721166,0.9978858351,0.9985286905,0.9987277354,0.9983212087,1
G0400050000100,04005000100,G0400050000100,04005000100,0.9611444198,0.9949071506,0.9947560431,0.993662897,0.9946620981,0.99459615,0.9936880715,0.9987939119
G0400050000100,04005000100,G0400050002200,04005002200,0.0388555802,0.0050928494,0.0052439569,0.006337103,0.0053379019,0.00540385,0.0063119285,0.0012060881
G0400050000200,04005000200,G0400050000200,04005000200,0.9608398294,0.9991689626,0.9991936876,0.9990817248,0.9992417248,0.9993537748,0.9982681485,1
