tr2020gj,tr2020ge,tr2012gj,tr2012ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0400050000200,04005000200,G0400050000300,04005000300,0.0391601706,0.0008310374,0.0008063124,0.0009182752,0.0007582752,0.0006462252,0.0017318515,0
G0400050000301,04005000301,G0400050000200,04005000200,0.002299015,0,0,0,0,0,0,0
G0400050000301,04005000301,G0400050000300,04005000300,0.997700985,1,1,1,1,1,1,1
G0400050000302,04005000302,G0400050000300,04005000300,0.9951516893,1,1,1,1,1,1,1
G0400050000302,04005000302,G0400050000400,04005000400,0.0048483107,0,0,0,0,0,0,0
G0400050000400,04005000400,G0400050000400,04005000400,1,1,1,1,1,1,1,1
G0400050000500,04005000500,G0400050000500,04005000500,0.9981228054,0.9975966984,0.9970241779,0.9965286834,0.9965990383,0.9968861007,0.9942376883,0.9999961252
G0400050000500,04005000500,G0400050001301,04005001301,0.0009842392,0.0000062168,0.0000064117,0.0000076241,0.000006834,0.0000062571,0.0000090319,0.0000036721
G0400050000500,04005000500,G0400050002200,04005002200,0.0008929555,0.0023970848,0.0029694104,0.0034636924,0.0033941277,0.0031076422,0.0057532798,0.0000002027
G0400050000601,04005000601,G0400050000600,04005000600,1,1,1,1,1,1,1,1
G0400050000602,04005000602,G0400050000600,04005000600,1,1,1,1,1,1,1,1
G0400050000700,04005000700,G0400050000600,04005000600,0.0001530456,0,0,0,0,0,0,0
G0400050000700,04005000700,G0400050000700,04005000700,0.9998469544,1,1,1,1,1,1,1
G0400050000800,04005000800,G0400050000500,04005000500,0.020436665,0,0,0,0,0,0,0
G0400050000800,04005000800,G0400050000600,04005000600,0.0129569192,0,0,0,0,0,0,0
G0400050000800,04005000800,G0400050000700,04005000700,0.0484522845,0,0,0,0,0,0,0
G0400050000800,04005000800,G0400050000800,04005000800,0.9104860884,0.9909710122,0.9906221821,0.9927536232,0.9961928934,0.9917621777,0.987704918,0.9971698113
G0400050000800,04005000800,G0400050000900,04005000900,0.0060098638,0,0,0,0,0,0,0
G0400050000800,04005000800,G0400050001000,04005001000,0.0010153931,0.0090289878,0.0093778179,0.0072463768,0.0038071066,0.0082378223,0.012295082,0.0028301887
G0400050000800,04005000800,G0400050001200,04005001200,0.0006427859,0,0,0,0,0,0,0
G0400050000901,04005000901,G0400050000900,04005000900,0.9798688806,1,1,1,1,1,1,1
G0400050000901,04005000901,G0400050001101,04005001101,0.0201311194,0,0,0,0,0,0,0
G0400050000902,04005000902,G0400050000900,04005000900,0.9981784121,1,1,1,1,1,1,1
G0400050000902,04005000902,G0400050001000,04005001000,0.0014058551,0,0,0,0,0,0,0
G0400050000902,04005000902,G0400050001101,04005001101,0.0004157328,0,0,0,0,0,0,0
G0400050001000,04005001000,G0400050000900,04005000900,0.0217608037,0,0,0,0,0,0,0
G0400050001000,04005001000,G0400050001000,04005001000,0.9729751657,1,1,1,1,1,1,1
G0400050001000,04005001000,G0400050001101,04005001101,0.0046199326,0,0,0,0,0,0,0
G0400050001000,04005001000,G0400050001102,04005001102,0.000644098,0,0,0,0,0,0,0
G0400050001101,04005001101,G0400050001101,04005001101,1,1,1,1,1,1,1,1
G0400050001103,04005001103,G0400050001102,04005001102,0.9988198089,1,1,1,1,1,1,1
G0400050001103,04005001103,G0400050001200,04005001200,0.0011801911,0,0,0,0,0,0,0
G0400050001104,04005001104,G0400050001102,04005001102,1,1,1,1,1,1,1,1
G0400050001201,04005001201,G0400050001102,04005001102,0.0006582172,0,0,0,0,0,0,0
G0400050001201,04005001201,G0400050001200,04005001200,0.9993417828,1,1,1,1,1,1,1
G0400050001301,04005001301,G0400050001301,04005001301,1,1,1,1,1,1,1,1
G0400050001302,04005001302,G0400050000500,04005000500,0.0000160013,0,0,0,0,0,0,0
G0400050001302,04005001302,G0400050001301,04005001301,0.0000319259,0,0,0,0,0,0,0
G0400050001302,04005001302,G0400050001302,04005001302,0.9999520728,1,1,1,1,1,1,1
G0400050001500,04005001500,G0400050000900,04005000900,0.0004945568,0.0011283622,0.0012996611,0,0,0.0001300935,0,0
G0400050001500,04005001500,G0400050001500,04005001500,0.9994772525,0.9988716378,0.9987003389,1,1,0.9998699065,1,1
G0400050001500,04005001500,G0400170960500,04017960500,0.0000010774,0,0,0,0,0,0,0
G0400050001500,04005001500,G0400250001602,04025001602,0.0000271133,0,0,0,0,0,0,0
G0400050001601,04005001601,G0400050001600,04005001600,0.9896932551,0.9832905458,0.9834281432,0.9862218354,0.9880763837,0.9889689482,0.9858884231,0.9955937346
G0400050001601,04005001601,G0400250001702,04025001702,0.0087040733,0.0122921484,0.0120339603,0.0089681778,0.0077668746,0.0062910386,0.0098471698,0.0006194384
G0400050001601,04005001601,G0400250001801,04025001801,0.0016026716,0.0044173057,0.0045378965,0.0048099867,0.0041567416,0.0047400131,0.004264407,0.003786827
G0400050001602,04005001602,G0400050001600,04005001600,0.9881695171,0.9954279884,0.9953035887,0.9952929293,0.9956750261,0.9957114634,0.994045583,0.9990392641
G0400050001602,04005001602,G0400250001801,04025001801,0.0000011965,0,0,0,0,0,0,0
G0400050001602,04005001602,G0400250001802,04025001802,0.0118292864,0.0045720116,0.0046964113,0.0047070707,0.0043249739,0.0042885366,0.005954417,0.0009607359
G0400050001700,04005001700,G0400050001700,04005001700,0.9948602945,0.9949208246,0.9957181783,0.9922992299,0.9927588704,0.9933259177,0.9964788732,0.9867674858
G0400050001700,04005001700,G0400050002300,04005002300,0.0051397055,0.0050791754,0.0042818217,0.0077007701,0.0072411296,0.0066740823,0.0035211268,0.0132325142
G0400050002000,04005002000,G0400050002000,04005002000,1,1,1,1,1,1,1,1
G0400050002101,04005002101,G0400050002100,04005002100,0.9998258904,1,1,1,1,1,1,1
G0400050002101,04005002101,G0400050942202,04005942202,0.0001741096,0,0,0,0,0,0,0
G0400050002102,04005002102,G0400050002100,04005002100,0.9999464715,0.9997275641,0.9998075334,0.9998072275,0.999864656,0.9998800177,0.9997931763,1
G0400050002102,04005002102,G0400050942201,04005942201,0.0000535285,0.0002724359,0.0001924666,0.0001927725,0.000135344,0.0001199823,0.0002068237,0
G0400050002201,04005002201,G0400050000100,04005000100,0.0000348388,0.0049789815,0.0042338916,0.0000021706,0.0012852753,0.0026361021,0.0015561805,0.0000091435
G0400050002201,04005002201,G0400050001101,04005001101,0.0000160254,0,0,0,0,0,0,0
G0400050002201,04005002201,G0400050001200,04005001200,0.0000519381,0,0,0,0,0,0,0
G0400050002201,04005002201,G0400050002200,04005002200,0.9986110651,0.9950210185,0.9957661084,0.9999978294,0.9987147247,0.9973638979,0.9984438195,0.9999908565
G0400050002201,04005002201,G0400050002300,04005002300,0.0012729601,0,0,0,0,0,0,0
G0400050002201,04005002201,G0400250001802,04025001802,0.0000131724,0,0,0,0,0,0,0
G0400050002202,04005002202,G0400050002200,04005002200,1,1,1,1,1,1,1,1
G0400050002301,04005002301,G0400050002000,04005002000,0.0000397908,0.0038003547,0.0044843049,0,0,0,0,0
G0400050002301,04005002301,G0400050002200,04005002200,0.002554617,0,0,0,0,0,0,0
G0400050002301,04005002301,G0400050002300,04005002300,0.9973949843,0.9961996453,0.9955156951,1,1,1,1,1
G0400050002301,04005002301,G0400250002100,04025002100,0.0000106079,0,0,0,0,0,0,0
G0400050002302,04005002302,G0400050001700,04005001700,0.0087493424,0.0813234385,0.0815654718,0.0697424893,0.0713765477,0.0804899388,0.0781758958,0.0137931034
G0400050002302,04005002302,G0400050002300,04005002300,0.9912372387,0.9186765615,0.9184345282,0.9302575107,0.9286234523,0.9195100612,0.9218241042,0.9862068966
G0400050002302,04005002302,G0400250001900,04025001900,0.0000134189,0,0,0,0,0,0,0
G0400050942201,04005942201,G0400050002100,04005002100,0.0000431712,0.0000000065,0.0000000066,0.0000000063,0.0000000056,0.0000000055,0.0000000066,0
G0400050942201,04005942201,G0400050942201,04005942201,0.9999568288,0.9999999935,0.9999999934,0.9999999937,0.9999999944,0.9999999945,0.9999999934,1
G0400050942202,04005942202,G0400050942202,04005942202,0.9999859688,1,1,1,1,1,1,1
G0400050944900,04005944900,G0400050944900,04005944900,1,1,1,1,1,1,1,1
G0400050945000,04005945000,G0400050945000,04005945000,1,1,1,1,1,1,1,1
G0400050945100,04005945100,G0400050001302,04005001302,0.0024263461,0.0017953321,0.0015948963,0.004,0.0046992481,0.0040192926,0.0046349942,0.0049751244
G0400050945100,04005945100,G0400050945100,04005945100,0.9975736539,0.9982046679,0.9984051037,0.996,0.9953007519,0.9959807074,0.9953650058,0.9950248756
G0400050945200,04005945200,G0400050945200,04005945200,1,1,1,1,1,1,1,1
G0400050980000,04005980000,G0400050002000,04005002000,0.6653241655,0.8,0.9,0.75,0.6666666667,0.9696969697,0,0.8
G0400050980000,04005980000,G0400050002300,04005002300,0.3346758345,0.2,0.1,0.25,0.3333333333,0.0303030303,1,0.2
G0400050980000,04005980000,G0400050945000,04005945000,0,0,0,0,0,0,0,0
G0400050980100,04005980100,G0400050002200,04005002200,1,1,1,1,1,1,1,1
G0400050980200,04005980200,G0400050001102,04005001102,0.0041828521,0.0041828521,0.0041828521,0.0041828521,0.0041828521,0.0041828521,0.0041828521,0.0041828521
G0400050980200,04005980200,G0400050001200,04005001200,0.7311639042,0.7311639042,0.7311639042,0.7311639042,0.7311639042,0.7311639042,0.7311639042,0.7311639042
G0400050980200,04005980200,G0400050002200,04005002200,0.2646532437,0.2646532437,0.2646532437,0.2646532437,0.2646532437,0.2646532437,0.2646532437,0.2646532437
G0400070000100,04007000100,G0400070000100,04007000100,1,1,1,1,1,1,1,1
G0400070000200,04007000200,G0400070000200,04007000200,1,1,1,1,1,1,1,1
G0400070000301,04007000301,G0400070000301,04007000301,1,1,1,1,1,1,1,1
G0400070000302,04007000302,G0400070000302,04007000302,1,1,1,1,1,1,1,1
G0400070000400,04007000400,G0400070000400,04007000400,1,1,1,1,1,1,1,1
G0400070000500,04007000500,G0400070000500,04007000500,1,1,1,1,1,1,1,1
G0400070000600,04007000600,G0400070000600,04007000600,1,1,1,1,1,1,1,1
G0400070000700,04007000700,G0400070000700,04007000700,1,1,1,1,1,1,1,1
G0400070000800,04007000800,G0400070000800,04007000800,1,1,1,1,1,1,1,1
G0400070000900,04007000900,G0400070000900,04007000900,1,1,1,1,1,1,1,1
G0400070001000,04007001000,G0400070001000,04007001000,1,1,1,1,1,1,1,1
G0400070001100,04007001100,G0400070001100,04007001100,1,1,1,1,1,1,1,1
G0400070001200,04007001200,G0400070001200,04007001200,1,1,1,1,1,1,1,1
G0400070001300,04007001300,G0400070000800,04007000800,0.0000002884,0,0,0,0,0,0,0
G0400070001300,04007001300,G0400070001300,04007001300,0.999998545,1,1,1,1,1,1,1
G0400070001300,04007001300,G0400210002300,04021002300,0.0000011666,0,0,0,0,0,0,0
G0400070940200,04007940200,G0400070940200,04007940200,1,1,1,1,1,1,1,1
G0400070940400,04007940400,G0400070940400,04007940400,1,1,1,1,1,1,1,1
G0400090940500,04009940500,G0400090940500,04009940500,1,1,1,1,1,1,1,1
G0400090961100,04009961100,G0400090961100,04009961100,0.9999992751,1,1,1,1,1,1,1
G0400090961100,04009961100,G0400090961600,04009961600,0.0000007249,0,0,0,0,0,0,0
G0400090961201,04009961201,G0400090961201,04009961201,0.9994421397,1,1,1,1,1,1,1
G0400090961201,04009961201,G0400090961700,04009961700,0.0005578603,0,0,0,0,0,0,0
G0400090961202,04009961202,G0400090961201,04009961201,0.0016697547,0.0104140859,0.0118859361,0.0048737599,0.0061786827,0.0056888127,0.0034517389,0.0162010868
G0400090961202,04009961202,G0400090961202,04009961202,0.9983302453,0.9895859141,0.9881140639,0.9951262401,0.9938213173,0.9943111873,0.9965482611,0.9837989132
G0400090961300,04009961300,G0400090961300,04009961300,1,1,1,1,1,1,1,1
G0400090961400,04009961400,G0400090961400,04009961400,1,1,1,1,1,1,1,1
G0400090961500,04009961500,G0400090961500,04009961500,1,1,1,1,1,1,1,1
G0400090961600,04009961600,G0400090961600,04009961600,1,1,1,1,1,1,1,1
G0400090961700,04009961700,G0400090961201,04009961201,0.0000036805,0,0,0,0,0,0,0
G0400090961700,04009961700,G0400090961700,04009961700,0.9999963195,1,1,1,1,1,1,1
G0400110960100,04011960100,G0400010970502,04001970502,0.0000003153,0,0,0,0,0,0,0
G0400110960100,04011960100,G0400090940500,04009940500,0.0000060965,0.0000003328,0.0000004443,0.0000002673,0.0000001685,0.0000001377,0.0000002585,0
G0400110960100,04011960100,G0400110960100,04011960100,0.99995776,0.9995745744,0.9995382118,0.9996894176,0.9995977437,0.9995159237,0.9995745894,0.9996410867
G0400110960100,04011960100,G0400110960200,04011960200,0.0000344115,0.0004250928,0.000461344,0.0003103151,0.0004020878,0.0004839386,0.0004251521,0.0003589133
G0400110960200,04011960200,G0400110960100,04011960100,0.0010343579,0.0301444592,0.0259740488,0.0278812118,0.0279108812,0.0241147338,0.0112738069,0.0284099934
G0400110960200,04011960200,G0400110960200,04011960200,0.9989656421,0.9698555408,0.9740259512,0.9721187882,0.9720891188,0.9758852662,0.9887261931,0.9715900066
G0400110960300,04011960300,G0400110960300,04011960300,1,1,1,1,1,1,1,1
G0400120020101,04012020101,G0400120020100,04012020100,0.999999424,1,1,1,1,1,1,1
G0400120020101,04012020101,G0400120020501,04012020501,0.000000576,0,0,0,0,0,0,0
G0400120020102,04012020102,G0400120020100,04012020100,0.9999869656,1,1,1,1,1,1,1
G0400120020102,04012020102,G0400120020501,04012020501,0.0000130344,0,0,0,0,0,0,0
G0400120020201,04012020201,G0400120020201,04012020201,0.9993965011,0.9993333237,0.999256593,0.9997970438,0.9990095382,0.999576899,0.9986469584,1
G0400120020201,04012020201,G0400120020202,04012020202,0.0006034989,0.0006666763,0.000743407,0.0002029562,0.0009904618,0.000423101,0.0013530416,0
G0400120020202,04012020202,G0400120020202,04012020202,1,1,1,1,1,1,1,1
G0400120020501,04012020501,G0400120020100,04012020100,0.0005159272,0,0,0,0,0,0,0
