,medhinc23,medhval23,medrent23,totpop23,GEOID,totpop19,medhval19,medrent19,medhinc19,GENTRIFICATION
251,111890.0,906300.0,2902.0,6159,06073009505,7124.0,660300.0,2227.0,119980.0,0.09781589563443557
252,154250.0,846400.0,3085.0,4582,06073009506,4681.0,595700.0,2322.0,126442.0,0.00524754673469735
253,113875.0,864400.0,2744.0,3934,06073009507,3873.0,639500.0,2126.0,94545.0,0.02747836483535139
254,105272.0,869800.0,3020.0,5744,06073009509,4725.0,672557.0,2300.0,85011.0,-0.027408329742723753
255,57759.0,,3460.0,4752,06073009510,5103.0,15948.0,2691.0,70856.0,
256,69087.0,,3501.0,4283,06073009511,4517.0,8637.0,2788.0,75654.0,
257,153575.0,795800.0,2763.0,4083,06073009602,4174.0,538000.0,1958.0,91653.0,-0.07419968720426795
258,70571.0,453700.0,2129.0,6270,06073009603,5544.0,294900.0,1614.0,66113.0,0.010981731452470975
259,90282.0,772700.0,1949.0,3212,06073009604,3628.0,589200.0,1512.0,86250.0,0.0965239682024306
260,132094.0,867200.0,2724.0,3595,06073009703,3494.0,603800.0,2181.0,98625.0,-0.007099337569335812
261,114712.0,851700.0,2654.0,6587,06073009704,5868.0,583100.0,1997.0,113617.0,0.024315427140602808
262,136742.0,940100.0,2165.0,3700,06073009705,4232.0,670700.0,1732.0,121116.0,0.08148970426965077
263,138617.0,1089200.0,2923.0,7197,06073009706,7880.0,735499.0,2297.0,117409.0,0.024150629997613665
264,130543.0,875800.0,2329.0,5070,06073009801,5194.0,582500.0,1858.0,93125.0,-0.01260205819272539
265,107429.0,809400.0,2200.0,7026,06073009802,6740.0,545137.0,1798.0,80794.0,0.0007361667564171892
266,148026.0,815100.0,3313.0,5792,06073009804,5286.0,571600.0,2556.0,104817.0,-0.031017383393229903
267,101644.0,826600.0,1864.0,4559,06073009805,5025.0,601500.0,1535.0,92396.0,0.09389036567809811
268,,,,1462,06073009901,763.0,0.0,0.0,0.0,
269,,,,0,06073009902,0.0,0.0,0.0,0.0,
270,101591.0,608500.0,2563.0,3948,06073010001,4991.0,419500.0,1820.0,78359.0,0.032432200954377655
271,98913.0,595900.0,2568.0,4972,06073010003,6081.0,426800.0,1390.0,80556.0,-0.04078253519740421
272,105074.0,583200.0,2680.0,5229,06073010004,5218.0,384300.0,2074.0,62250.0,-0.06677739180555498
273,35503.0,573100.0,1510.0,6443,06073010005,7803.0,370800.0,753.0,39439.0,0.025528830802100246
274,74063.0,605200.0,1517.0,5436,06073010009,6978.0,447700.0,1149.0,46788.0,0.05938825065576236
275,65000.0,375200.0,1751.0,4807,06073010010,5431.0,279900.0,1346.0,44609.0,0.03060958915362261
276,111429.0,618900.0,2151.0,4472,06073010011,4134.0,426200.0,1730.0,75350.0,-0.037156134404656246
277,86111.0,396900.0,1624.0,4605,06073010012,5199.0,320100.0,1400.0,47750.0,0.028095368057412536
278,69459.0,,1584.0,4845,06073010013,5670.0,302200.0,1122.0,43856.0,
279,129107.0,655500.0,1899.0,4646,06073010015,3821.0,543500.0,1740.0,99083.0,0.045730484340821095
280,,,,3217,06073010016,4985.0,519300.0,2061.0,91846.0,
281,108042.0,685700.0,2932.0,6581,06073010017,5278.0,519300.0,2061.0,91846.0,-0.031030262072968634
282,139643.0,676100.0,2504.0,6695,06073010018,5896.0,519300.0,2061.0,91846.0,-0.020900143992551398
283,131316.0,853500.0,3184.0,3568,06073010019,2695.0,519300.0,2061.0,91846.0,-0.14941853542851957
284,57500.0,553200.0,1861.0,6592,06073010103,6183.0,0.0,1426.0,46354.0,-0.0390791172681268
285,103315.0,657600.0,2662.0,3203,06073010104,3624.0,446500.0,1992.0,61801.0,-0.04046644343240047
286,50833.0,398600.0,1344.0,4704,06073010106,5810.0,272500.0,1057.0,45417.0,0.07377068933802822
287,85875.0,590900.0,2018.0,5928,06073010107,7188.0,330100.0,1558.0,64386.0,-0.006931933057612118
288,104630.0,563200.0,2431.0,4824,06073010109,5341.0,408600.0,1578.0,74118.0,-0.04111745663885815
289,68333.0,609700.0,1729.0,7368,06073010110,7871.0,396100.0,1149.0,55996.0,-0.010425603782211669
290,59561.0,522700.0,1726.0,3614,06073010111,3235.0,361818.0,1315.0,46722.0,-0.006369349826816015
291,57083.0,436500.0,1970.0,5241,06073010112,5683.0,255200.0,1615.0,43193.0,0.03733834695255299
292,108250.0,954400.0,2291.0,3562,06073010201,3566.0,644499.0,1712.0,65737.0,-0.06790934235004732
293,103247.0,795900.0,2274.0,3473,06073010202,3589.0,644500.0,1712.0,65737.0,0.001026420050321955
294,77722.0,855400.0,1882.0,4240,06073010300,4485.0,549200.0,1518.0,61131.0,-0.0015070207722281612
295,70609.0,702100.0,1869.0,2150,06073010401,2604.0,464755.0,1429.0,51775.0,0.005056593284998179
296,59227.0,611900.0,1860.0,5442,06073010402,6265.0,456529.0,1396.0,47540.0,0.06092697287506999
297,118634.0,890900.0,3014.0,1288,06073010501,1547.0,597000.0,1574.0,71500.0,-0.19016552882399373
298,65351.0,488500.0,1779.0,5742,06073010502,5493.0,496400.0,1364.0,47129.0,0.08344767523701838
299,202692.0,1612600.0,3501.0,1981,06073010601,2153.0,1133600.0,3501.0,130457.0,-0.004455514168842392
300,132000.0,2000001.0,2474.0,2474,06073010800,2736.0,1942300.0,2104.0,101775.0,0.03801305002128322
301,179063.0,2000001.0,3501.0,1581,06073010900,2224.0,2000001.0,2416.0,119313.0,-0.020710130190044532
302,97237.0,2000001.0,3181.0,2787,06073011000,3567.0,1622800.0,2728.0,102578.0,0.1369369406768748
303,127050.0,1922800.0,2357.0,3531,06073011100,4807.0,1540100.0,2120.0,110602.0,0.14713389574402858
304,155114.0,,2618.0,2386,06073011300,2467.0,0.0,3357.0,137083.0,
305,69542.0,771600.0,1472.0,5796,06073011601,5470.0,410000.0,1144.0,35688.0,-0.11369349788045469
306,57303.0,432100.0,1577.0,3671,06073011602,3907.0,372190.0,1237.0,42754.0,0.055073902834724846
307,56045.0,583800.0,1568.0,7376,06073011700,6078.0,429900.0,963.0,31609.0,-0.02652818857421606
308,61146.0,568200.0,1382.0,3278,06073011801,4169.0,382400.0,1072.0,47668.0,0.07280517508550242
