,statefp,countyfp,tractce,blkgrpce,TOTPOP_C_1,TOTPOP_F_1,MEDVAL_C_1,MEDVAL_F_1,MEDHINC__1,MEDHINC__2,MEDCRNT_CY,MEDCRNT_FY,GENTRIFICATION
1197,06,073,017039,2,772,759,1160839,1284810,107290,116863,3417,3389,-0.020718232044198873
1198,06,073,017043,2,1385,1364,325556,322826,143823,156978,2439,2617,-0.032803867403314896
1199,06,073,017051,1,1345,1308,854978,917510,154872,168606,2545,2938,-0.0020718232044198565
1200,06,073,018903,4,1021,1046,700521,899038,49173,62228,1361,1650,0.06785220994475138
1201,06,073,017041,1,1713,1668,946751,1128151,202247,216964,3224,3281,-0.022905156537753213
1202,06,073,008348,1,1980,1922,915553,1097826,137860,154678,2542,2828,-0.0037983425414364613
1203,06,073,008357,3,2048,2007,626316,821798,113121,124232,2294,3130,0.07809622467771635
1204,06,073,019903,2,3004,3295,999399,1272546,123067,149150,2390,3288,0.09046961325966849
1205,06,073,015200,1,1153,1119,1521429,1681614,191406,207035,3250,3288,-0.026300644567219186
1206,06,073,007302,2,684,667,1719697,1778455,171064,204355,3161,3201,-0.026761049723756855
1207,06,073,003401,3,823,847,720745,855691,51771,53211,1747,1768,-0.009783609576427245
1208,06,073,015200,4,821,804,1244152,1319118,208628,218050,1244,2512,0.07556399631675872
1209,06,073,015301,1,1424,1399,644144,706301,105125,113222,2192,2288,-0.042011970534069965
1210,06,073,020705,2,1126,1102,694697,839623,157100,163575,2570,2629,-0.04465930018416206
1211,06,073,016610,1,2303,2251,745652,1109472,81826,92379,1908,2450,0.174378453038674
1212,06,073,007907,2,1408,1371,1184524,1300926,107753,114051,3460,3462,-0.024286372007366497
1213,06,073,007908,2,1117,1137,1214286,1307692,86922,92858,2395,2868,0.006273020257826889
1214,06,073,016613,2,1295,1344,833523,889760,130156,139152,1945,2028,-0.03257366482504604
1215,06,073,016614,1,1775,1737,679752,838951,114100,132776,1306,1703,0.002762430939226488
1216,06,073,008003,2,1279,1276,1616477,1752033,150827,161587,2615,3240,0.028717771639042364
1217,06,073,008003,3,833,810,1953704,2000001,154947,172210,3211,3480,0.010013812154696149
1218,06,073,008361,1,1859,1814,895101,920103,96718,115564,2560,2965,-0.037407918968692416
1219,06,073,002302,2,1671,1617,857353,871011,58404,73016,1325,1558,-0.07188075506445674
1220,06,073,014805,3,1765,1727,777174,865957,97030,110491,2248,2450,-0.022790055248618782
1221,06,073,014806,2,1420,1447,750000,853916,74289,82328,1848,2076,-0.01743784530386739
1222,06,073,002602,3,1462,1417,740741,866935,39677,45462,1835,3032,0.11268416206261507
1223,06,073,002711,1,1698,1653,643939,718182,79369,87279,2285,2360,-0.040688305709023945
1224,06,073,016804,4,1713,1673,564815,641026,77270,83439,1949,2184,-0.023077808471454866
1225,06,073,017054,2,656,645,976852,1083333,156991,177919,0,0,-0.026530847145488045
1226,06,073,017055,1,1588,1632,1284226,1536260,156902,166979,2974,3028,-0.01548112338858193
1227,06,073,017055,2,1939,2273,939039,1149148,154487,171932,2772,3165,0.030904696132596665
1228,06,073,017055,3,1921,1974,945069,1116667,198555,216935,3367,3372,-0.019164364640883946
1229,06,073,015403,1,1449,1499,1169231,1324034,155659,185215,2250,2672,0.025897790055248643
1230,06,073,016615,1,1648,1619,843099,873832,165582,173086,2471,2712,-0.06370856353591159
1231,06,073,016617,1,1328,1374,115750,121667,54359,60250,1921,2353,0.03510589318600367
1232,06,073,017056,1,2580,2520,866964,952560,117157,131123,2587,2701,-0.005697513812154664
1233,06,073,017053,1,1570,1537,1468478,1611111,203455,223495,3482,3501,-0.006388121546961334
1234,06,073,017053,2,1730,1689,1463462,1594178,211649,229304,3458,3446,-0.024804327808471444
1235,06,073,008365,2,1286,1246,1208333,1609536,203425,242789,3467,3485,0.01715009208103134
1236,06,073,008600,4,1529,1584,450000,457143,40630,45989,1874,2116,-0.012200736648250457
1237,06,073,009306,1,2201,2149,818144,858262,138184,150521,2920,3232,-0.05070211786372006
1238,06,073,003603,3,1051,1019,491667,662109,82008,95059,1670,1799,0.0021293738489871067
1239,06,073,004800,2,1288,1250,837644,862385,60383,65856,1932,2780,0.009898710865561725
1240,06,073,006200,1,160,159,1157407,1217742,70449,70449,0,0,-0.026415745856353565
1241,06,073,013411,1,2106,2068,1102076,1241781,157946,167916,2657,2838,-0.02089088397790051
1242,06,073,011700,1,2879,2961,873512,1163793,64453,69652,1811,2269,0.08954880294659306
1243,06,073,013420,2,2064,2014,867470,938433,154350,173101,2753,2801,-0.026530847145488007
1244,06,073,014805,2,2125,2076,719828,855315,85719,96951,1927,2271,0.003798342541436475
1245,06,073,015403,2,1157,1134,1192308,1291096,207750,224962,3501,3501,-0.018358655616942943
1246,06,073,016804,1,1893,1854,1197297,1344498,84799,97276,1793,1842,-0.014215009208103153
1247,06,073,016804,2,2222,2164,568103,630208,74734,80175,1992,2126,-0.04074585635359114
1248,06,073,008362,3,1233,1201,852459,880435,128685,131286,2737,3250,-0.03297651933701656
1249,06,073,010009,4,1332,1292,1250000,1257812,51712,61839,1412,1596,-0.04517725598526703
1250,06,073,017056,2,1787,2008,929005,955472,110296,122994,2665,2767,-0.035566298342541436
1251,06,073,017109,1,2284,2227,2000001,2000001,248890,260065,3344,3328,-0.029005524861878434
1252,06,073,014901,1,991,976,1213362,1258000,120555,132450,2382,3122,0.009553406998158334
1253,06,073,011601,2,1649,1650,1055556,1650000,81386,85566,1691,1953,0.08454189686924492
1254,06,073,019103,2,2334,2379,916209,1131805,89689,103486,1226,1233,0.012661141804788171
1255,06,073,017009,1,2430,2400,631303,928867,101052,115720,2349,3414,0.2290515653775322
1256,06,073,017009,2,1947,1902,893125,939103,126305,140525,2417,2763,-0.02077578268876612
1257,06,073,017010,1,1138,1107,1167143,1275641,221200,237595,2357,2567,-0.031192449355432778
1258,06,073,010010,3,1522,1479,145139,225000,87761,99004,2347,2608,-0.014099907918968702
1259,06,073,010011,1,1429,1389,728000,741803,99464,115285,2185,2530,-0.04414134438305711
1260,06,073,013000,2,1362,1332,702446,731742,66744,78794,1991,3501,0.11164825046040519
1261,06,073,013000,3,1832,1892,674320,733083,93042,103214,2062,2325,-0.014502762430939203
1262,06,073,009000,2,977,963,829637,858333,88357,99058,1820,2211,-0.0405732044198895
1263,06,073,009306,4,1765,1717,877604,905983,148849,158695,2865,2891,-0.08223987108655617
1264,06,073,002801,2,2350,2492,708333,708333,18188,19024,1984,2139,-0.06854281767955801
1265,06,073,002903,2,977,949,810462,850427,100242,116643,2667,2882,-0.06071593001841624
1266,06,073,002905,2,1196,1178,500000,698276,40000,44284,1564,1709,0.02503453038674033
1267,06,073,003305,2,2210,2146,378788,392424,53073,62169,1638,2045,-0.0010934622467771368
1268,06,073,007701,1,1166,1155,1271154,1375000,120345,129017,3485,3490,-0.017840699815837913
1269,06,073,007701,2,971,971,1958333,2000001,128488,135950,3501,3501,4.163336342344337e-17
1270,06,073,007702,1,911,905,1344388,1400990,131250,159160,2207,3380,0.08448434622467774
1271,06,073,007702,2,972,986,1273333,1338095,128489,140026,2413,2638,-0.03533609576427257
1272,06,073,007702,3,1107,1105,1100000,1242958,135076,151030,3202,3297,-0.011567679558011051
1273,06,073,007907,1,1525,1482,1081461,1194215,115113,125000,2300,2966,0.014963167587476983
1274,06,073,000202,2,901,885,1673469,1714912,127000,139559,2336,2599,-0.026127992633517505
1275,06,073,000800,4,1297,1286,362500,450000,59613,62759,2259,2481,-0.007021178637200733
1276,06,073,003213,2,2042,1980,876250,916667,144442,161491,2630,2673,-0.0691183241252302
1277,06,073,016807,2,2361,2369,769257,842704,97437,120152,2135,2494,-0.01962476979742174
1278,06,073,002601,3,513,509,291071,292857,57572,63307,1509,2206,0.03798342541436464
1279,06,073,000400,3,893,942,871479,875000,77906,83776,2268,3047,-0.01657458563535913
1280,06,073,016806,1,1513,1546,831250,926174,103656,116845,1985,2397,0.06037062615101289
1281,06,073,016806,3,1911,1873,574728,754167,80892,94125,1995,2143,0.018473756906077332
1282,06,073,003304,1,1486,1514,581019,630208,59460,72194,2240,2303,-0.041551565377532254
1283,06,073,017054,3,775,774,1601485,1757752,156264,169266,3321,3319,-0.01922191528545117
1284,06,073,017054,4,2455,2416,1534351,1854938,132952,151839,1169,1885,0.031767955801104954
1285,06,073,002001,2,1523,1492,1413717,1600543,209625,227022,2551,2847,-0.0073089318600367825
1286,06,073,017014,1,1171,1172,626752,717040,65745,70280,2904,2917,-0.030616942909760567
1287,06,073,007702,4,976,963,0,0,75483,83721,2206,2601,0.009783609576427259
1288,06,073,008006,5,862,857,1427083,1383929,165292,176685,3501,3250,-0.07153545119705346
1289,06,073,010011,2,2035,1973,629849,709459,145314,160915,2294,2347,-0.04229972375690609
1290,06,073,010012,1,2087,2119,684476,717153,91543,105608,1880,2768,0.04109116022099445
1291,06,073,010013,1,2070,2013,407692,458824,67524,76527,1685,1790,-0.01853130755064457
1292,06,073,016809,3,2228,2176,635214,808275,92949,102952,2154,2263,-0.004834254143646424
1293,06,073,017010,2,1881,1846,1112565,1338043,168368,186689,2858,2843,-0.01553867403314918
1294,06,073,017033,1,1370,1337,905629,988411,133764,151457,2475,3000,0.012661141804788195
1295,06,073,017033,2,734,720,1168333,1205621,177443,199456,3188,3501,-0.010186464088397802
1296,06,073,004200,2,1866,1835,1198630,1303030,170576,186013,2943,3501,0.025725138121547003
1297,06,073,004300,1,604,592,979167,1274306,133693,154168,1954,3010,0.12419429097605897
1298,06,073,004400,1,961,941,1171329,1210123,127936,141285,3025,3386,-0.027566758747698004
1299,06,073,004400,4,612,603,1303738,1326754,140968,178039,2165,2315,-0.04120626151012888
1300,06,073,006300,1,2075,2075,0,0,68302,68302,3000,3501,0.03648710865561694
1301,06,073,007002,2,1493,1482,1665509,1768116,215257,232225,2913,2989,-0.034012430939226485
1302,06,073,008002,3,764,758,1379747,1525424,153236,159440,3488,3487,-0.017610497237569085
1303,06,073,008006,2,771,755,2000001,2000001,107155,111716,2217,2346,-0.02555248618784527
1304,06,073,008006,4,707,696,1206897,1688679,142943,153674,2750,3292,0.05893186003683239
1305,06,073,008101,2,796,799,1831897,2000001,68644,73989,3501,3019,-0.061521639042357266
1306,06,073,009505,4,1787,1743,908133,1139447,109761,115475,2586,2687,-0.007884438305709007
1307,06,073,015405,1,2444,2391,796448,930425,117234,134565,1814,3151,0.1914134438305709
1308,06,073,015405,2,1575,1539,1153195,1259804,208920,220977,3221,3240,-0.031595303867403335
1309,06,073,009511,1,1839,1783,0,0,84920,93806,3458,3458,-0.018703959484346194
1310,06,073,009511,2,1862,1806,0,0,70146,75920,3501,3501,-0.011510128913443829
1311,06,073,010009,2,2132,2072,682099,816116,151088,160866,3501,3501,-0.024861878453038666
1312,06,073,010109,2,2659,2582,620625,800412,104069,114977,2118,2178,-0.0025322283609576363
1313,06,073,010111,2,2003,1947,592105,696678,58714,69360,1773,1921,0.0010359116022099352
1314,06,073,016807,3,2751,2694,757946,837233,150546,157111,3501,3501,-0.04149401473296502
1315,06,073,016807,4,1581,1553,702206,727811,106461,111596,2583,3172,-0.018934162062615112
1316,06,073,020801,3,1969,1996,912500,1031088,151561,164116,589,852,0.007251381215469661
1317,06,073,020810,1,1367,1348,1018349,1176380,194154,208637,2367,2500,-0.04189686924493556
1318,06,073,020810,2,731,748,838619,921429,97773,120225,2667,3167,0.03775322283609571
1319,06,073,015902,3,817,840,676075,827778,118954,136635,2225,2246,-0.03527854511970534
1320,06,073,008504,3,1449,1415,884969,921711,100949,109153,1332,1389,-0.034760589318600384
1321,06,073,004200,1,1987,1937,967664,1187888,104949,118507,2571,3055,0.011395027624309412
1322,06,073,010110,3,1445,1479,757092,839713,120396,136520,3273,3308,-0.04011279926335176
1323,06,073,006900,1,2621,2549,1345277,1443709,111595,121391,3333,3316,-0.03257366482504606
1324,06,073,001700,4,604,604,832386,882979,82872,87085,1981,2456,0.001266114180478825
1325,06,073,013418,3,1053,1024,153125,202500,72267,75577,1125,1132,-0.005409760589318599
